Date,Vehicle_Type,Brand,Region,Fuel_Type,Price,Units_Sold,Customer_Rating,Age_Group
2023-02-15 16:49:40.968280467,Hatchback,Hyundai,East,Electric,2292113,372,3.9,26-35
2023-02-17 12:42:04.207011686,Hatchback,Honda,West,Hybrid,3770209,450,4.8,18-25
2023-02-19 08:34:27.445742904,Sedan,Honda,West,Petrol,715400,30,3.5,18-25
2023-02-21 04:26:50.684474123,Truck,Hyundai,Central,Hybrid,3629684,205,3.3,46-55
2023-02-23 00:19:13.923205342,Truck,Hyundai,Central,Diesel,3157025,187,4.4,46-55
2023-02-24 20:11:37.161936561,Hatchback,Honda,South,Petrol,2365690,426,3.5,18-25
2023-02-26 16:04:00.400667779,Truck,Hyundai,South,Diesel,3824664,484,4.1,36-45
2023-02-28 11:56:23.639398998,Truck,Honda,North,Hybrid,892136,16,4.1,56+
2023-03-02 07:48:46.878130217,SUV,Honda,Central,Hybrid,889954,79,4.7,56+
2023-03-04 03:41:10.116861435,Hatchback,Mahindra,East,Diesel,2635219,136,4.0,18-25
2023-03-05 23:33:33.355592654,Electric,Toyota,Central,Electric,2246621,408,3.8,18-25
2023-03-07 19:25:56.594323873,Hatchback,Honda,East,Diesel,518073,475,2.8,18-25
2023-03-09 15:18:19.833055091,Electric,Tata,West,Hybrid,536035,169,2.8,36-45
2023-03-11 11:10:43.071786310,SUV,Maruti,Central,Diesel,1744625,257,2.9,46-55
2023-03-13 07:03:06.310517529,Sedan,Toyota,West,Electric,733782,212,2.9,18-25
2023-03-15 02:55:29.549248748,Truck,Toyota,South,Diesel,3211813,157,4.1,18-25
2023-03-16 22:47:52.787979966,SUV,Toyota,South,Electric,2418370,481,4.4,26-35
2023-03-18 18:40:16.026711185,Truck,Mahindra,North,Electric,1114805,152,3.8,36-45
2023-03-20 14:32:39.265442404,Sedan,Honda,Central,Diesel,2083246,441,4.6,18-25
2023-03-22 10:25:02.504173622,Sedan,Mahindra,West,Diesel,1226331,208,5.0,26-35
2023-03-24 06:17:25.742904841,SUV,Honda,East,Petrol,2294291,414,4.6,56+
2023-03-26 02:09:48.981636060,Sedan,Mahindra,South,Hybrid,2659081,435,4.2,18-25
2023-03-27 22:02:12.220367278,Electric,Mahindra,South,Electric,1257771,163,3.8,18-25
2023-03-29 17:54:35.459098497,Sedan,Maruti,East,Petrol,3482448,385,3.6,26-35
2023-03-31 13:46:58.697829716,Truck,Tata,West,Diesel,1167689,393,2.7,36-45
2023-04-02 09:39:21.936560934,Truck,Mahindra,West,Hybrid,3378117,151,3.5,18-25
2023-04-04 05:31:45.175292153,Truck,Maruti,Central,Petrol,787313,322,4.8,56+
2023-04-06 01:24:08.414023372,Truck,Hyundai,Central,Electric,587468,174,4.5,18-25
2023-04-07 21:16:31.652754590,Electric,Tata,North,Petrol,3680322,323,3.0,56+
2023-04-09 17:08:54.891485809,Hatchback,Mahindra,South,Electric,2543037,30,3.7,46-55
2023-04-11 13:01:18.130217028,SUV,Toyota,Central,Diesel,691703,91,4.5,46-55
2023-04-13 08:53:41.368948246,Truck,Hyundai,West,Hybrid,1593609,78,2.7,56+
2023-04-15 04:46:04.607679465,Sedan,Hyundai,East,Hybrid,3587821,140,3.5,36-45
2023-04-17 00:38:27.846410684,Truck,Maruti,West,Hybrid,1622437,96,4.6,18-25
2023-04-18 20:30:51.085141902,Sedan,Hyundai,South,Diesel,3304802,227,3.5,18-25
2023-04-20 16:23:14.323873122,Sedan,Tata,West,Electric,793894,430,2.7,46-55
2023-04-22 12:15:37.562604340,Truck,Mahindra,North,Diesel,2113325,481,3.9,56+
2023-04-24 08:08:00.801335558,Electric,Mahindra,South,Hybrid,1626798,314,4.7,18-25
2023-04-26 04:00:24.040066778,Sedan,Toyota,East,Diesel,3233460,412,4.0,18-25
2023-04-27 23:52:47.278797996,Sedan,Maruti,North,Diesel,2359234,380,3.1,36-45
2023-04-29 19:45:10.517529214,Truck,Toyota,South,Diesel,3390305,354,3.5,26-35
2023-05-01 15:37:33.756260434,Sedan,Hyundai,East,Electric,2522234,350,3.6,46-55
2023-05-03 11:29:56.994991652,Sedan,Toyota,North,Petrol,3142049,393,3.9,46-55
2023-05-05 07:22:20.233722870,Truck,Tata,North,Petrol,2203377,405,4.4,26-35
2023-05-07 03:14:43.472454090,Truck,Mahindra,South,Diesel,1752557,454,2.7,18-25
2023-05-08 23:07:06.711185308,SUV,Hyundai,Central,Petrol,604211,434,4.7,36-45
2023-05-10 18:59:29.949916526,Electric,Toyota,North,Petrol,3832049,170,2.5,36-45
2023-05-12 14:51:53.188647746,Electric,Maruti,North,Diesel,1990687,187,3.4,46-55
2023-05-14 10:44:16.427378964,Sedan,Tata,East,Diesel,987689,126,2.6,36-45
2023-05-16 06:36:39.666110182,Electric,Tata,West,Hybrid,1423160,205,3.5,26-35
2023-05-18 02:29:02.904841402,Sedan,Toyota,South,Petrol,3458104,392,3.8,18-25
2023-05-19 22:21:26.143572620,SUV,Mahindra,South,Electric,3447893,499,3.8,26-35
2023-05-21 18:13:49.382303838,Truck,Toyota,Central,Diesel,1578560,336,2.9,56+
2023-05-23 14:06:12.621035058,Truck,Hyundai,Central,Hybrid,3651629,95,4.1,46-55
2023-05-25 09:58:35.859766276,Truck,Toyota,South,Electric,2759776,298,2.6,36-45
2023-05-27 05:50:59.098497496,Electric,Tata,Central,Petrol,3868045,90,4.4,56+
2023-05-29 01:43:22.337228714,SUV,Toyota,East,Hybrid,3938927,161,4.9,36-45
2023-05-30 21:35:45.575959932,Electric,Mahindra,South,Diesel,1193045,70,3.3,18-25
2023-06-01 17:28:08.814691152,Electric,Maruti,Central,Electric,1491469,70,3.8,18-25
2023-06-03 13:20:32.053422370,SUV,Honda,South,Diesel,645788,363,3.4,18-25
2023-06-05 09:12:55.292153588,SUV,Toyota,West,Petrol,1138387,37,2.5,36-45
2023-06-07 05:05:18.530884808,SUV,Mahindra,North,Electric,3132578,451,3.5,56+
2023-06-09 00:57:41.769616026,SUV,Mahindra,South,Petrol,3287810,52,4.5,18-25
2023-06-10 20:50:05.008347244,Truck,Maruti,North,Petrol,1468616,178,4.0,56+
2023-06-12 16:42:28.247078464,Hatchback,Tata,Central,Hybrid,523429,432,2.8,36-45
2023-06-14 12:34:51.485809682,Hatchback,Mahindra,North,Diesel,1750956,95,4.6,56+
2023-06-16 08:27:14.724540900,SUV,Mahindra,South,Electric,1990036,186,3.8,36-45
2023-06-18 04:19:37.963272120,Hatchback,Mahindra,West,Petrol,3369729,26,4.6,36-45
2023-06-20 00:12:01.202003338,Hatchback,Mahindra,Central,Petrol,3890855,107,4.0,46-55
2023-06-21 20:04:24.440734556,SUV,Hyundai,South,Electric,3484852,463,3.9,36-45
2023-06-23 15:56:47.679465776,Hatchback,Hyundai,Central,Petrol,2309377,207,2.8,36-45
2023-06-25 11:49:10.918196994,Electric,Tata,East,Hybrid,1565923,107,2.9,26-35
2023-06-27 07:41:34.156928212,Sedan,Toyota,North,Hybrid,2220856,74,4.9,18-25
2023-06-29 03:33:57.395659432,Sedan,Mahindra,East,Hybrid,1056110,339,3.1,46-55
2023-06-30 23:26:20.634390650,SUV,Maruti,South,Hybrid,1464163,350,4.9,46-55
2023-07-02 19:18:43.873121868,Truck,Toyota,West,Petrol,3512539,14,3.8,46-55
2023-07-04 15:11:07.111853088,SUV,Maruti,Central,Electric,2030891,11,2.8,26-35
2023-07-06 11:03:30.350584306,Truck,Toyota,North,Electric,507967,31,2.7,36-45
2023-07-08 06:55:53.589315524,Sedan,Tata,Central,Electric,2822523,121,3.0,18-25
2023-07-10 02:48:16.828046744,SUV,Mahindra,South,Electric,1757100,66,4.8,56+
2023-07-11 22:40:40.066777962,Electric,Mahindra,Central,Diesel,1713261,75,3.5,36-45
2023-07-13 18:33:03.305509180,Hatchback,Honda,North,Electric,1052467,339,3.5,26-35
2023-07-15 14:25:26.544240400,Truck,Maruti,South,Diesel,751537,107,3.3,36-45
2023-07-17 10:17:49.782971618,Hatchback,Toyota,Central,Diesel,2256124,153,2.9,36-45
2023-07-19 06:10:13.021702836,Hatchback,Toyota,West,Hybrid,1341531,377,3.7,26-35
2023-07-21 02:02:36.260434056,SUV,Hyundai,South,Diesel,1364645,444,2.8,46-55
2023-07-22 21:54:59.499165274,Hatchback,Honda,South,Petrol,1928127,134,4.6,46-55
2023-07-24 17:47:22.737896492,Electric,Hyundai,West,Diesel,1435772,176,3.4,18-25
2023-07-26 13:39:45.976627712,Hatchback,Hyundai,East,Hybrid,971082,95,3.4,18-25
2023-07-28 09:32:09.215358930,SUV,Hyundai,North,Diesel,2421277,85,3.7,46-55
2023-07-30 05:24:32.454090148,Electric,Maruti,East,Petrol,560545,353,3.6,56+
2023-08-01 01:16:55.692821368,Sedan,Maruti,Central,Petrol,3880283,433,5.0,36-45
2023-08-02 21:09:18.931552588,Hatchback,Tata,West,Petrol,2821046,303,3.9,56+
2023-08-04 17:01:42.170283804,SUV,Tata,East,Hybrid,3324658,453,2.7,36-45
2023-08-06 12:54:05.409015024,Sedan,Hyundai,South,Hybrid,3586622,68,4.0,46-55
2023-08-08 08:46:28.647746244,Sedan,Honda,Central,Electric,3947794,147,2.9,18-25
2023-08-10 04:38:51.886477460,Truck,Toyota,Central,Hybrid,2596594,108,2.6,18-25
2023-08-12 00:31:15.125208680,Electric,Maruti,East,Petrol,2115777,201,4.9,56+
2023-08-13 20:23:38.363939900,Hatchback,Honda,East,Petrol,2847649,252,4.4,18-25
2023-08-15 16:16:01.602671116,SUV,Mahindra,West,Hybrid,1473181,328,5.0,46-55
2023-08-17 12:08:24.841402336,Truck,Maruti,North,Diesel,3616810,58,3.7,56+
2023-08-19 08:00:48.080133556,Electric,Maruti,East,Hybrid,1991633,457,3.8,36-45
2023-08-21 03:53:11.318864772,Truck,Tata,East,Hybrid,1201692,41,2.9,18-25
2023-08-22 23:45:34.557595992,Electric,Toyota,South,Petrol,2033854,400,3.1,26-35
2023-08-24 19:37:57.796327212,Electric,Toyota,Central,Electric,3503447,286,4.6,18-25
2023-08-26 15:30:21.035058428,Hatchback,Mahindra,North,Petrol,2561774,29,3.4,36-45
2023-08-28 11:22:44.273789648,Electric,Mahindra,South,Electric,1704680,163,4.6,56+
2023-08-30 07:15:07.512520868,Truck,Maruti,West,Petrol,3290358,392,4.3,36-45
2023-09-01 03:07:30.751252084,Electric,Hyundai,West,Hybrid,3690664,77,2.9,26-35
2023-09-02 22:59:53.989983304,Hatchback,Tata,East,Petrol,3282306,375,3.8,46-55
2023-09-04 18:52:17.228714524,Hatchback,Tata,East,Petrol,2265524,381,4.2,18-25
2023-09-06 14:44:40.467445740,Truck,Maruti,West,Petrol,1750632,223,3.1,56+
2023-09-08 10:37:03.706176960,Sedan,Honda,East,Hybrid,2516411,152,4.6,46-55
2023-09-10 06:29:26.944908180,Sedan,Hyundai,North,Hybrid,2822621,385,3.9,36-45
2023-09-12 02:21:50.183639396,Electric,Maruti,East,Hybrid,3673869,241,2.9,56+
2023-09-13 22:14:13.422370616,SUV,Hyundai,Central,Hybrid,2475154,222,4.0,46-55
2023-09-15 18:06:36.661101836,Electric,Hyundai,East,Electric,637478,88,5.0,56+
2023-09-17 13:58:59.899833052,Truck,Hyundai,South,Electric,3743087,223,2.9,26-35
2023-09-19 09:51:23.138564272,Truck,Maruti,North,Diesel,1409711,125,4.5,26-35
2023-09-21 05:43:46.377295492,Truck,Tata,South,Hybrid,3800091,101,3.0,18-25
2023-09-23 01:36:09.616026708,Truck,Tata,South,Electric,3218979,279,4.5,18-25
2023-09-24 21:28:32.854757928,Truck,Hyundai,Central,Petrol,2119715,420,4.3,26-35
2023-09-26 17:20:56.093489148,Hatchback,Honda,North,Hybrid,3090310,390,3.3,56+
2023-09-28 13:13:19.332220364,Sedan,Toyota,North,Diesel,2127687,498,3.3,26-35
2023-09-30 09:05:42.570951584,Truck,Maruti,North,Diesel,2620464,177,4.5,18-25
2023-10-02 04:58:05.809682804,SUV,Toyota,North,Diesel,1460612,67,3.7,26-35
2023-10-04 00:50:29.048414020,SUV,Honda,North,Petrol,927387,293,4.3,26-35
2023-10-05 20:42:52.287145240,SUV,Maruti,Central,Electric,3032147,35,2.9,56+
2023-10-07 16:35:15.525876460,SUV,Hyundai,East,Petrol,2433731,378,4.6,46-55
2023-10-09 12:27:38.764607676,Hatchback,Tata,South,Hybrid,3395995,456,4.3,18-25
2023-10-11 08:20:02.003338896,SUV,Toyota,North,Diesel,2044613,75,4.8,56+
2023-10-13 04:12:25.242070116,Truck,Mahindra,East,Petrol,1797638,418,2.8,26-35
2023-10-15 00:04:48.480801332,Electric,Mahindra,East,Petrol,3440593,257,4.0,26-35
2023-10-16 19:57:11.719532552,SUV,Honda,South,Electric,935684,263,4.0,46-55
2023-10-18 15:49:34.958263772,Hatchback,Hyundai,Central,Electric,2654174,396,3.4,18-25
2023-10-20 11:41:58.196994992,Hatchback,Toyota,West,Diesel,2930525,465,3.6,18-25
2023-10-22 07:34:21.435726208,SUV,Hyundai,West,Petrol,3744799,53,2.6,36-45
2023-10-24 03:26:44.674457428,Electric,Toyota,East,Petrol,1730844,106,4.4,18-25
2023-10-25 23:19:07.913188648,SUV,Honda,South,Electric,3595010,51,3.9,46-55
2023-10-27 19:11:31.151919864,Hatchback,Honda,West,Petrol,2956070,236,2.6,36-45
2023-10-29 15:03:54.390651084,Sedan,Mahindra,East,Petrol,989626,271,4.2,36-45
2023-10-31 10:56:17.629382304,Truck,Hyundai,Central,Petrol,788859,176,3.7,26-35
2023-11-02 06:48:40.868113520,Hatchback,Maruti,West,Electric,1314037,445,2.6,26-35
2023-11-04 02:41:04.106844740,SUV,Mahindra,East,Diesel,2172717,288,4.9,18-25
2023-11-05 22:33:27.345575960,Truck,Hyundai,East,Hybrid,1055462,98,4.9,36-45
2023-11-07 18:25:50.584307176,SUV,Mahindra,North,Diesel,1427460,388,3.8,26-35
2023-11-09 14:18:13.823038396,SUV,Maruti,Central,Hybrid,2046236,187,2.7,46-55
2023-11-11 10:10:37.061769616,Sedan,Tata,North,Petrol,3722101,436,4.4,26-35
2023-11-13 06:03:00.300500832,Truck,Tata,South,Diesel,1741597,412,3.7,26-35
2023-11-15 01:55:23.539232052,Truck,Tata,North,Hybrid,2790870,206,3.3,36-45
2023-11-16 21:47:46.777963272,Sedan,Tata,North,Electric,1094305,316,3.7,36-45
2023-11-18 17:40:10.016694488,Hatchback,Toyota,West,Electric,563037,276,3.8,56+
2023-11-20 13:32:33.255425708,SUV,Tata,East,Diesel,3127988,277,3.9,46-55
2023-11-22 09:24:56.494156928,Electric,Maruti,Central,Diesel,3238421,83,3.6,36-45
2023-11-24 05:17:19.732888144,SUV,Honda,North,Petrol,1782789,17,4.0,18-25
2023-11-26 01:09:42.971619364,SUV,Honda,Central,Diesel,704366,417,4.8,46-55
2023-11-27 21:02:06.210350584,Hatchback,Toyota,North,Petrol,1002420,485,3.4,46-55
2023-11-29 16:54:29.449081800,SUV,Tata,South,Petrol,2751401,306,4.3,36-45
2023-12-01 12:46:52.687813020,Sedan,Tata,North,Electric,1834742,173,4.7,46-55
2023-12-03 08:39:15.926544240,Sedan,Tata,West,Electric,2179161,494,3.6,36-45
2023-12-05 04:31:39.165275456,Truck,Mahindra,East,Hybrid,1538199,94,3.6,26-35
2023-12-07 00:24:02.404006676,Electric,Hyundai,South,Electric,1160902,81,4.0,56+
2023-12-08 20:16:25.642737896,SUV,Mahindra,North,Electric,3867812,64,4.0,26-35
2023-12-10 16:08:48.881469112,SUV,Hyundai,Central,Diesel,2038112,402,4.5,36-45
2023-12-12 12:01:12.120200332,Hatchback,Tata,South,Electric,1609004,56,3.7,36-45
2023-12-14 07:53:35.358931552,Sedan,Tata,South,Hybrid,2226676,408,5.0,26-35
2023-12-16 03:45:58.597662768,Electric,Mahindra,North,Diesel,1870073,441,2.6,18-25
2023-12-17 23:38:21.836393988,Truck,Mahindra,South,Hybrid,2185996,247,2.5,18-25
2023-12-19 19:30:45.075125208,Sedan,Hyundai,Central,Electric,1736180,113,4.1,18-25
2023-12-21 15:23:08.313856424,Truck,Honda,South,Hybrid,3137492,219,3.2,36-45
2023-12-23 11:15:31.552587644,Hatchback,Hyundai,Central,Diesel,3746417,51,3.1,46-55
2023-12-25 07:07:54.791318864,Hatchback,Mahindra,North,Petrol,1202436,325,3.3,36-45
2023-12-27 03:00:18.030050080,SUV,Maruti,East,Hybrid,3043788,477,3.1,46-55
2023-12-28 22:52:41.268781300,Electric,Mahindra,South,Hybrid,3253183,463,2.6,26-35
2023-12-30 18:45:04.507512520,Truck,Maruti,East,Diesel,2859459,277,4.9,56+
2024-01-01 14:37:27.746243736,Sedan,Toyota,Central,Diesel,1852144,395,3.1,46-55
2024-01-03 10:29:50.984974956,Hatchback,Mahindra,South,Hybrid,2051330,272,4.3,18-25
2024-01-05 06:22:14.223706176,SUV,Toyota,West,Electric,1471248,345,4.4,36-45
2024-01-07 02:14:37.462437392,SUV,Honda,East,Hybrid,963547,396,4.8,26-35
2024-01-08 22:07:00.701168612,Truck,Hyundai,South,Diesel,3001002,374,2.6,18-25
2024-01-10 17:59:23.939899832,Hatchback,Maruti,East,Petrol,1684446,268,4.7,26-35
2024-01-12 13:51:47.178631048,Electric,Hyundai,South,Petrol,1833140,292,3.8,56+
2024-01-14 09:44:10.417362268,Hatchback,Toyota,North,Electric,3107411,123,4.1,36-45
2024-01-16 05:36:33.656093488,Truck,Maruti,East,Hybrid,2193439,372,4.1,36-45
2024-01-18 01:28:56.894824704,Truck,Hyundai,West,Petrol,2331094,49,4.5,56+
2024-01-19 21:21:20.133555924,Hatchback,Mahindra,West,Hybrid,3937172,495,3.3,36-45
2024-01-21 17:13:43.372287144,Truck,Tata,Central,Diesel,1559325,426,4.3,46-55
2024-01-23 13:06:06.611018360,Hatchback,Toyota,South,Petrol,3225571,229,3.8,26-35
2024-01-25 08:58:29.849749580,Sedan,Hyundai,East,Electric,2229057,138,4.5,18-25
2024-01-27 04:50:53.088480800,Hatchback,Toyota,Central,Diesel,2463571,17,5.0,56+
2024-01-29 00:43:16.327212016,Hatchback,Toyota,East,Electric,1848207,110,3.0,46-55
2024-01-30 20:35:39.565943236,Truck,Maruti,South,Diesel,725019,425,5.0,18-25
2024-02-01 16:28:02.804674456,Truck,Maruti,West,Petrol,1975153,389,2.7,18-25
2024-02-03 12:20:26.043405672,SUV,Tata,North,Electric,2356231,185,2.5,56+
2024-02-05 08:12:49.282136892,SUV,Mahindra,West,Electric,1097218,116,2.6,46-55
2024-02-07 04:05:12.520868112,Sedan,Toyota,Central,Diesel,3936252,110,3.4,18-25
2024-02-08 23:57:35.759599328,SUV,Hyundai,North,Electric,1317052,269,4.1,18-25
2024-02-10 19:49:58.998330548,Hatchback,Honda,Central,Diesel,2485957,487,2.7,46-55
2024-02-12 15:42:22.237061768,Truck,Toyota,South,Diesel,3902281,463,2.5,36-45
2024-02-14 11:34:45.475792984,SUV,Toyota,North,Diesel,1219401,375,4.8,18-25
2024-02-16 07:27:08.714524204,SUV,Tata,Central,Diesel,2575020,255,4.6,26-35
2024-02-18 03:19:31.953255424,Sedan,Mahindra,South,Petrol,1928080,284,4.5,46-55
2024-02-19 23:11:55.191986644,Sedan,Honda,West,Diesel,1601928,41,4.7,18-25
2024-02-21 19:04:18.430717860,Hatchback,Maruti,South,Hybrid,3021279,146,4.3,56+
2024-02-23 14:56:41.669449080,Truck,Maruti,East,Electric,3809584,21,2.8,26-35
2024-02-25 10:49:04.908180296,Sedan,Hyundai,South,Hybrid,2600343,404,3.5,18-25
2024-02-27 06:41:28.146911520,SUV,Honda,South,Petrol,2425544,311,4.3,26-35
2024-02-29 02:33:51.385642736,Truck,Maruti,East,Hybrid,3226016,384,3.2,26-35
2024-03-01 22:26:14.624373952,Truck,Hyundai,Central,Electric,1744289,25,4.2,36-45
2024-03-03 18:18:37.863105176,SUV,Mahindra,Central,Hybrid,942939,138,2.6,26-35
2024-03-05 14:11:01.101836392,Sedan,Hyundai,South,Petrol,1552207,72,3.3,36-45
2024-03-07 10:03:24.340567608,SUV,Maruti,East,Diesel,3782972,118,3.9,46-55
2024-03-09 05:55:47.579298832,Truck,Tata,East,Hybrid,804224,384,4.1,36-45
2024-03-11 01:48:10.818030048,Electric,Tata,West,Petrol,720169,30,3.9,56+
2024-03-12 21:40:34.056761264,Electric,Tata,Central,Petrol,3211793,167,4.2,18-25
2024-03-14 17:32:57.295492488,Hatchback,Maruti,North,Electric,1962073,278,2.5,46-55
2024-03-16 13:25:20.534223704,SUV,Tata,Central,Electric,1052959,171,2.8,46-55
2024-03-18 09:17:43.772954920,SUV,Honda,Central,Hybrid,2195675,269,4.7,56+
2024-03-20 05:10:07.011686144,Hatchback,Mahindra,West,Diesel,2819124,421,4.2,36-45
2024-03-22 01:02:30.250417360,Hatchback,Hyundai,North,Petrol,2573290,111,2.8,18-25
2024-03-23 20:54:53.489148576,Hatchback,Hyundai,West,Hybrid,1938454,232,4.6,36-45
2024-03-25 16:47:16.727879800,Truck,Maruti,North,Petrol,1248321,68,3.1,26-35
2024-03-27 12:39:39.966611016,SUV,Tata,South,Petrol,3105831,256,3.7,36-45
2024-03-29 08:32:03.205342232,Truck,Tata,North,Diesel,3018970,137,2.9,46-55
2024-03-31 04:24:26.444073456,Hatchback,Toyota,West,Diesel,2227408,292,4.3,18-25
2024-04-02 00:16:49.682804672,SUV,Mahindra,Central,Hybrid,3301742,334,4.2,36-45
2024-04-03 20:09:12.921535888,Truck,Honda,North,Diesel,3588272,34,3.0,18-25
2024-04-05 16:01:36.160267112,Truck,Hyundai,North,Diesel,1555675,140,4.7,18-25
2024-04-07 11:53:59.398998328,Hatchback,Toyota,East,Hybrid,2322550,362,3.5,26-35
2024-04-09 07:46:22.637729544,SUV,Toyota,Central,Diesel,3177932,205,3.2,26-35
2024-04-11 03:38:45.876460768,Hatchback,Maruti,South,Electric,3742450,290,2.9,46-55
2024-04-12 23:31:09.115191984,SUV,Hyundai,West,Petrol,1465188,413,3.2,56+
2024-04-14 19:23:32.353923200,Electric,Maruti,South,Petrol,1054399,427,2.6,18-25
2024-04-16 15:15:55.592654424,Sedan,Honda,Central,Petrol,2661088,163,4.0,56+
2024-04-18 11:08:18.831385640,Sedan,Toyota,North,Petrol,2820484,391,4.6,46-55
2024-04-20 07:00:42.070116856,Sedan,Toyota,North,Hybrid,3322988,142,3.9,18-25
2024-04-22 02:53:05.308848080,Hatchback,Mahindra,Central,Petrol,3968792,236,3.0,18-25
2024-04-23 22:45:28.547579296,Electric,Honda,North,Petrol,987510,198,2.6,56+
2024-04-25 18:37:51.786310512,SUV,Toyota,North,Petrol,2660682,485,3.0,36-45
2024-04-27 14:30:15.025041736,Truck,Honda,North,Petrol,3915660,486,3.5,26-35
2024-04-29 10:22:38.263772952,SUV,Hyundai,West,Electric,2100946,274,4.4,36-45
2024-05-01 06:15:01.502504168,Truck,Tata,West,Petrol,2173879,381,3.0,56+
2024-05-03 02:07:24.741235392,SUV,Toyota,East,Electric,2280752,495,4.3,26-35
2024-05-04 21:59:47.979966608,Electric,Mahindra,South,Hybrid,2418596,443,4.7,36-45
2024-05-06 17:52:11.218697824,Truck,Hyundai,Central,Diesel,3793331,143,3.6,26-35
2024-05-08 13:44:34.457429048,Hatchback,Honda,Central,Petrol,1374772,220,4.6,18-25
2024-05-10 09:36:57.696160264,SUV,Maruti,Central,Diesel,3559513,69,3.9,36-45
2024-05-12 05:29:20.934891480,SUV,Hyundai,East,Diesel,641214,437,4.1,26-35
2024-05-14 01:21:44.173622704,Truck,Toyota,West,Hybrid,3236493,386,3.8,26-35
2024-05-15 21:14:07.412353920,Hatchback,Honda,East,Diesel,2121219,404,3.7,26-35
2024-05-17 17:06:30.651085136,Hatchback,Tata,Central,Electric,903082,459,3.1,36-45
2024-05-19 12:58:53.889816360,Electric,Hyundai,South,Diesel,701139,440,3.3,46-55
2024-05-21 08:51:17.128547576,Hatchback,Toyota,North,Diesel,1528494,373,3.2,36-45
2024-05-23 04:43:40.367278792,Hatchback,Mahindra,West,Diesel,1521318,373,3.9,56+
2024-05-25 00:36:03.606010016,Hatchback,Maruti,West,Petrol,3246866,466,2.8,36-45
2024-05-26 20:28:26.844741232,Sedan,Honda,East,Petrol,3185467,222,4.8,26-35
2024-05-28 16:20:50.083472448,Electric,Hyundai,West,Electric,1999698,225,4.3,18-25
2024-05-30 12:13:13.322203672,SUV,Hyundai,Central,Electric,1707786,235,3.5,36-45
2024-06-01 08:05:36.560934888,Truck,Tata,Central,Petrol,592601,479,2.9,36-45
2024-06-03 03:57:59.799666104,SUV,Tata,East,Electric,3675684,140,4.7,26-35
2024-06-04 23:50:23.038397328,Electric,Mahindra,Central,Petrol,3884068,85,4.6,18-25
2024-06-06 19:42:46.277128544,Truck,Maruti,South,Hybrid,1129085,485,4.3,18-25
2024-06-08 15:35:09.515859760,Electric,Mahindra,East,Diesel,2459925,295,3.2,56+
2024-06-10 11:27:32.754590984,Hatchback,Toyota,South,Diesel,3509887,483,3.5,36-45
2024-06-12 07:19:55.993322200,Truck,Toyota,North,Electric,2018087,286,2.8,18-25
2024-06-14 03:12:19.232053416,Hatchback,Mahindra,South,Petrol,2209375,165,3.0,18-25
2024-06-15 23:04:42.470784640,SUV,Maruti,North,Petrol,2513321,257,4.5,46-55
